coauthor,Journal,Author guidelines available,language requirements,language requirements notes,language requirements binned,editing services,author guidelines suggest peer review,Authors are recommended in guidelines to suggest reviewers from diverse backgrounds (select no if there are no guidelines),authors suggest diverse reviews binned,guidelines multiple countries,guidelines multiple institutions,guidelines ecr,guidelines gender,gudielines another demographic text,guidelines another demographic enthnicity or race,guidelines another demographic other,guidelines to be reviewer,guidelines link publisher,guidelines reviewer specific journal,guidelines social justice,guidelines esl,blind format,journal publish peer reviews,continent,eic_01,eic_02,eic_03,eic_04,eic_05,eic_06,eic_07,eic_08,eic_09,percent review board female,JCR 2020 IF,JIF_bin,JCR 2020 IF sans self citations ,JCR 2020 JCI,Impact factor,Impact factor five year,First issue date of journal,Language in JCR,Country based in on JCR,First stage publisher assignment,Publisher on JCR,Publisher from JCR but binned by larger company,Publisher major minor,society,Society listed,Society_publisher,First year in JCR,Website URL,Secondary website domain,Notes,Overall Tier Score,Notes on tier scoring,Source
Alyssa,Animals,Yes,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""If you are not a native English speaker, we recommend that you have your manuscript professionally edited before submission or read by a native English-speaking colleague. This can be carried out by MDPI's English editing service. Professional editing will enable reviewers and future readers to more easily read and assess the content of submitted manuscripts. All accepted manuscripts undergo language editing, however an additional fee will be charged to authors if very extensive English corrections must be made by the Editorial Office: pricing is according to the service here.""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,Yes,Unclear,Australia,,,,,,,,,NA,2.752,Low,1.967,1.28,2.752,2.942,,English,SWITZERLAND,Other,MDPI,MDPI,Minor,NA,Not_society,Minor_Not_society,2018,https://www.mdpi.com/journal/animals,,There are two entries in JCR for Animals with the same ISSN number but one is for 2017 and the other is for 2018-present,Tier 1,,"Original list (publisher, personal knowledge)"
Ani,ANNALES BOTANICI FENNICI,Yes,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""If English is not your first language, make sure that the manuscript is checked by a native English speaker preferably familiar with the subject and terms used in the paper. We routinely check the language of all accepted manuscripts and if we find it to be inadequate, manuscripts are returned for further corrections. """,6,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,No,Single,No,Europe,Finland,,,,,,,,,NA,0.626,Low,0.571,0.22,,,,English,FINLAND,Other,FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD,FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD,Minor,"Societas Biologica Fennica Vanamo, Societas pro Fauna et Flora Fennica, Societas Scientiarum Fennica ",Society,Minor_Society,1997,http://www.sekj.org/AnnBot.html,,Publisher: Finnish Zoological and Botanical Publishing Board,Tier 1,,JCR
Ani,ANNALES ZOOLOGICI FENNICI,Yes,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""If English is not your first language, make sure that the manuscript is checked by a native English speaker preferably familiar with the subject and terms used in the paper. We routinely check the language of all accepted manuscripts and if we find it to be inadequate, manuscripts are returned for further corrections. """,6,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,No,Single,No,Europe,Finland,,,,,,,,,NA,1.324,Low,1.297,0.51,,,,English,FINLAND,Other,FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD,FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD,Minor,"Societas Biologica Fennica Vanamo, Societas pro Fauna et Flora Fennica, Societas Scientiarum Fennica ",Society,Minor_Society,1997,http://www.sekj.org/AnnZool.html,,Publisher: Finnish Zoological and Botanical Publishing Board,Tier 1,,JCR
Ani,Annali di Botanica,Yes,Other (describe in adjacent column),"""All manuscripts must be written in English, and should conform to standard rules of English grammar and style.""",7,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,Europe,Italy,,,,,,,,,NA,0.722,Low,0.611,0.21,,,,Multi-Language,ITALY,Other,UNIV STUDI ROMA LA SAPIENZA,SAPIENZA UNIVERSITY OF ROME,Minor,NA,Not_society,Minor_Not_society,1997,https://rosa.uniroma1.it/rosa04/annali_di_botanica,,Publisher: Sapienza University of Rome; Formal review is done by members of Editorial Board; Blinding format assumed from title page,Tier 1,,JCR
Olivia Utley,Annals of Botany,Yes,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""If English is not your first language, you may wish to have your manuscript edited for language before submitting it. This is not a mandatory step, but may help to ensure that the academic content of your paper is fully understood by journal editors and reviewers. Language editing does not guarantee that your manuscript will be accepted for publication. There are many specialist language editing services available and you can find these easily by searching online. Authors are liable for all costs associated with such services.""",6,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,Canada,,,,,,,,,NA,4.357,Mid,4.114,1.23,4.36,,,English,United Kingdom,Oxford University Press,OXFORD UNIV PRESS,OXFORD UNIVERSITY PRESS,Major,NA,Not_society,Major_Not_society,1997,https://academic.oup.com/aob ,,,Tier 1,"""Its scope extends to all flowering and non-flowering taxa, and to taxonomic and evolutionary questions particularly when these are addressed using molecular tools""","Original list (publisher, personal knowledge)"
Ani,ANNALS OF CARNEGIE MUSEUM,Yes,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Northern America,United States,,,,,,,,,NA,1.143,Low,1,0.5,,,,English,United States,Other,CARNEGIE MUSEUM NATURAL HISTORY,CARNEGIE MUSEUM NATURAL HISTORY,Minor,NA,Not_society,Minor_Not_society,1997,https://carnegiemnh.org/research/annals-of-carnegie-museum/,https://bioone.org/journals/annals-of-carnegie-museum?gclid=CjwKCAiAvaGRBhBlEiwAiY-yMO23wX9_KsU6oyb3MapFtsIdF1GvHC4keJHzJmzIrPN5TVC4jx8rKxoCJL4QAvD_BwE,Publisher: Carnegie Museum of Natural History; Blinding format assumed from title page. ,Tier 3,"Just says, ""organismal biology, earth sciences (including paleontology), and anthropology."" However, recent articles do seem heavily evolution focused",JCR
Brianna,"Annual Review of Ecology, Evolution, and Systematics",Yes,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,Single,No,Unclear,United States,,,,,,,,,NA,13.915,High,13.83,1.43,13.915,,1970,English,United States,Other,ANNUAL REVIEWS,ANNUAL REVIEWS,Minor,NA,Not_society,Minor_Not_society,2003,https://www.annualreviews.org/journal/ecolsys,,"""Each manuscript is reviewed by one or more Members of the Editorial Committee and, where additional expert input is required, by an additional expert Reviewer.""",Tier 1,,"Original list (publisher, personal knowledge)"
Brianna,Annual Review of Genetics,Yes,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,Single,No,Northern America,United States,,,,,,,,,NA,16.83,High,16.745,1.52,,,,English,United States,Other,ANNUAL REVIEWS,ANNUAL REVIEWS,Minor,NA,Not_society,Minor_Not_society,1997,https://www.annualreviews.org/journal/genet,,"""Each manuscript is reviewed by one or more Members of the Editorial Committee and, where additional expert input is required, by an additional expert Reviewer.""",Tier 1,,JCR
Brianna,Annual Review of Genomics and Human Genetics,Yes,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,Single,No,Northern America,United States,,,,,,,,,NA,8.929,Mid,8.881,1,,,,English,United States,Other,ANNUAL REVIEWS,ANNUAL REVIEWS,Minor,NA,Not_society,Minor_Not_society,2002,https://www.annualreviews.org/journal/genom,,"""Each manuscript is reviewed by one or more Members of the Editorial Committee and, where additional expert input is required, by an additional expert Reviewer.""",Tier 2,,JCR
Brianna,Annual Review of Marine Science,Yes,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,Single,No,Northern America,United States,United States,,,,,,,,NA,13.85,High,13.725,2.45,,,,English,United States,Other,ANNUAL REVIEWS,ANNUAL REVIEWS,Minor,NA,Not_society,Minor_Not_society,2009,https://www.annualreviews.org/journal/marine,,"""Each manuscript is reviewed by one or more Members of the Editorial Committee and, where additional expert input is required, by an additional expert Reviewer.""",Tier 1,,JCR
Olivia Utley,Annual Review of Plant Biology,Yes,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,Single,No,Northern America,United States,,,,,,,,,NA,26.379,High,23.2,2.82,26.38,,1950,English,United States,Other,ANNUAL REVIEWS,ANNUAL REVIEWS,Minor,NA,Not_society,Minor_Not_society,2002,https://www.annualreviews.org/journal/arplant ,,"""Each manuscript is reviewed by one or more Members of the Editorial Committee and, where additional expert input is required, by an additional expert Reviewer.""",Tier 3,,"Original list (publisher, personal knowledge)"
Brianna,ANTARCTIC SCIENCE,Yes,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Cambridge recommends that authors have their manuscripts checked by an English language native speaker before submission; this will ensure that submissions are judged at peer review exclusively on academic merit. We list a number of third-party services specialising in language editing and / or translation here, and suggest that authors contact as appropriate. Use of any of these services is voluntary, and at the author's own expense.""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Europe,United Kingdom,Germany,United States,,,,,,,NA,1.638,Low,1.536,0.43,,,,English,United Kingdom,Cambridge University Press,CAMBRIDGE UNIV PRESS,CAMBRIDGE UNIV PRESS,Minor,NA,Not_society,Minor_Not_society,1997,https://www.cambridge.org/core/journals/antarctic-science,,There was no editor in chief named but 3 editors listed,Tier 3,,JCR
Brianna,Anthropocene,Yes,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services.""",5,Authors pay for editing,Yes,Yes,3,Yes,No,Yes,Yes,Ethnicity and Race,Yes,No,Yes,Yes,No,No,No,Double_required,No,Unclear,United States,,,,,,,,,43,3.964,Mid,3.782,0.85,,,,English,United Kingdom,Elsevier,ELSEVIER SCI LTD,ELSEVIER,Major,NA,Not_society,Major_Not_society,2018,https://www.journals.elsevier.com/anthropocene,,,Tier 1,,JCR
Brianna,Anthropocene Coasts,Yes,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""CSP has affiliated with Editage to offer pre-submission editing services to authors. Editage will help authors, particularly those for whom English is not their first language, craft well-written manuscripts for submission to the Journal, making it easier for peer reviewers to assess the science of a manuscript and reducing the risk that a paper with good scientific content will be rejected because of a lack of clarity.""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Unclear,China,United Kingdom,,,,,,,,NA,NA,NA,NA,0.64,,,,English,CANADA,Other,CANADIAN SCIENCE PUBLISHING,CANADIAN SCIENCE PUBLISHING,Minor,NA,Not_society,Minor_Not_society,2020,https://cdnsciencepub.com/journal/anc,,No impact factor because the journal has only been on JCR since 2020,Tier 1,,JCR
Brianna,AoB Plants,Yes,Other (describe in adjacent column),Journal mentions grammatically correct english as an initial submission requirement but does not mention anything about english editing,7,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Double_required,No,Europe,United States,,,,,,,,,NA,3.276,Mid,3.153,0.76,,,,English,United Kingdom,Other,OXFORD UNIV PRESS,OXFORD UNIVERSITY PRESS,Major,NA,Not_society,Major_Not_society,2013,https://academic.oup.com/aobpla,,,Tier 1,,JCR
Brianna,Applications in Plant Sciences,Yes,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Wiley Editing Services can greatly improve the chances of a manuscript being accepted. Offering expert help in English language editing, translation, manuscript formatting, and figure preparation, Wiley Editing Services ensures that the manuscript is ready for submission.""",6,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,Single,No,Northern America,United States,,,,,,,,,NA,1.936,Low,1.662,0.5,,,,English,United States,Wiley,WILEY,WILEY,Major,Botanical Society of America,Society,Major_Society,2014,https://bsapubs.onlinelibrary.wiley.com/journal/21680450,,,Tier 1,,JCR
